Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2020-03-17,90.39199829101562,92.88899993896484,84.46199798583984,88.77349853515625,218342000,88.31814,100.5331850281961,0.0,-10.141189575195312
2020-04-17,118.75,120.0,115.8010025024414,118.61650085449219,158600000,109.6515,118.22153364393203,0.0,0.5284652709960938
2020-04-22,118.17449951171875,119.69999694824219,117.55000305175781,118.44999694824219,84244000,115.30729,117.9554776482708,0.0,0.219024658203125
2020-05-01,114.302001953125,118.12200164794922,112.90950012207031,116.83999633789062,195452000,118.88603,122.35029362552007,8.048294067382812,0.0
2020-05-04,115.79949951171875,116.3489990234375,112.81900024414062,112.81900024414062,97318000,118.188446,122.49925974361538,6.699760437011719,0.0
2020-05-05,115.88999938964844,117.55000305175781,115.35649871826172,117.0,64850000,117.66788,119.85818435759124,3.9681854248046875,0.0
2020-05-28,120.05500030517578,121.84850311279297,118.9114990234375,119.21649932861328,63804000,121.72562,131.91613066242573,11.861137390136719,0.0
2020-06-03,123.91999816894531,124.4000015258789,123.05850219726562,123.40049743652344,53420000,122.365944,138.54197938667346,0.0,-14.621978759765625
2020-06-08,126.2030029296875,126.5,124.36699676513672,125.01000213623047,79414000,123.44556,134.05849074795628,0.0,-7.8554840087890625
2020-06-10,132.37249755859375,136.11749267578125,131.31300354003906,132.25,98920000,125.3953,137.44540022165472,0.0,-5.072906494140625
2020-06-12,127.2509994506836,131.07400512695312,125.1675033569336,130.0605010986328,108722000,126.968956,146.26291723464638,0.0,-19.011924743652344
2020-06-22,135.6909942626953,135.75,133.4499969482422,134.22500610351562,64176000,131.06601,153.93701000889115,0.0,-18.246017456054688
2020-06-26,134.64349365234375,139.1284942626953,134.39999389648438,138.7530059814453,130016000,134.78778,149.5128037273522,14.869308471679688,0.0
2020-06-30,137.9409942626953,138.48150634765625,133.75149536132812,134.2534942626953,75394000,135.05214,155.73060920471815,0.0,-17.78961181640625
2020-07-01,143.93499755859375,144.75,137.6999969482422,137.89950561523438,127268000,135.59294,154.39886199187288,0.0,-10.4638671875
2020-07-07,150.00599670410156,153.4774932861328,149.5,152.92750549316406,105150000,140.46082,152.2066919545301,0.0,-2.2006988525390625
2020-07-09,159.13150024414062,159.69400024414062,153.6999969482422,155.79949951171875,127774000,144.94562,150.20035135279446,0.0,8.93115234375
