Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.53850555419922,72.59888386623527,71.29229630932706,71.54588227171874,135480400
2020-01-03,71.83328247070312,72.59404771603535,71.6086769224392,71.76565905712691,146322800
2020-01-06,72.40568542480469,72.4443284378041,70.70301958367426,70.9541954829699,118387200
2020-01-07,72.06514739990234,72.67134068922641,71.84536944211234,72.41533721540509,108872000
2020-01-08,73.22440338134766,73.5262949460089,71.76807876823776,71.76807876823776,132079200
2020-01-09,74.77974700927734,74.97295465655091,73.95135835025293,74.20252681762871,170108400
2020-01-10,74.94880676269531,75.51395427727236,74.446462424671,75.01402005997716,140644800
2020-01-13,76.55003356933594,76.5766038580251,75.14684225138329,75.2651887494365,121532000
2020-01-14,75.51637268066406,76.69737618985954,75.39320591637785,76.48726080979424,161954400
2020-01-15,75.1927261352539,76.197422029665,74.76041540138982,75.3159002377914,121923600
2020-01-16,76.1346435546875,76.24574496948411,75.3738782015038,75.73614811924845,108829200
2020-01-17,76.97753143310547,76.97994155406593,76.07668423312775,76.38340344954888,137816400
2020-01-21,76.45586395263672,77.04756709065205,76.31819960849738,76.6056010131108,110843200
2020-01-22,76.72877502441406,77.28183515069573,76.63458130371416,76.94130052804331,101832400
2020-01-23,77.09827423095703,77.17797035715289,76.23365270464286,76.78189247630218,104472000
2020-01-24,76.87610626220703,78.08850050621476,76.68530867082355,77.34464270460084,146537600
2020-01-27,74.61553192138672,75.29659377968004,73.63257108817264,74.88360812840847,161940000
2020-01-28,76.72636413574219,76.89783652233591,75.39804092914581,75.49706227081296,162234000
2020-01-29,78.33242797851562,79.1801420756795,77.61755062731045,78.35899827586796,216229200
2020-01-30,78.21891784667969,78.27205107194843,76.98237082631806,77.4146817332591,126743200
2020-01-31,74.75078582763672,77.9315119457232,74.456139298992,77.50886365949354,199588400
2020-02-03,74.54547882080078,75.71198454702287,72.99013293890515,73.49247724374133,173788400
2020-02-04,77.00650787353516,77.19730542119127,75.74580830506335,76.151548831137,136616400
2020-02-05,77.63442993164062,78.43383812507085,77.03064686286258,78.13435671108577,118826800
2020-02-06,78.54255676269531,78.54497425479408,77.34707006784117,77.90496533285365,105425600
2020-02-07,77.47492980957031,78.29076000098544,76.98349458931148,78.04141124169928,117684000
2020-02-10,77.8428955078125,77.8428955078125,75.97883426440146,76.05871954270658,109348800
2020-02-11,77.37326049804688,78.4118136218486,77.15538413187909,78.33919062909048,94323200
2020-02-12,79.210693359375,79.215532428976,77.82353527181141,77.82353527181141,113730400
2020-02-13,78.64663696289062,78.97345520254548,78.27866815708352,78.48201992249481,94747600
2020-02-14,78.66600036621094,78.91534913157656,78.15761730819476,78.61515688888446,80113600
2020-02-18,77.2255859375,77.40715079471983,76.16282276038466,76.34438761760448,152531200
2020-02-19,78.34400939941406,78.57399446337855,77.46765770370357,77.46765770370357,93984000
2020-02-20,77.54029083251953,78.5933684199213,77.0343310134274,78.10435642626537,100566000
2020-02-21,75.78515625,77.57660179653178,75.16783878997336,77.13357947900434,129554000
2020-02-24,72.18534088134766,73.63785968182607,70.01867143670297,71.96262546916086,222195200
2020-02-25,69.74028015136719,73.23843325634256,69.26821587876495,72.85593981243385,230673600
2020-02-26,70.84661102294922,72.11272604677254,69.35778056176747,69.36504286107494,198054800
2020-02-27,66.21549224853516,69.23673421957639,66.07992440892687,68.0505119290574,320605600
2020-02-28,66.17675018310547,67.39929122080478,62.06370365251087,62.27916414492055,426510000
2020-03-02,72.33786010742188,72.9745487284491,67.2322571583197,68.33617091013136,341397200
2020-03-03,70.04046630859375,73.5942942720579,69.18831712034967,73.51440897960677,319475600
2020-03-04,73.28924560546875,73.44902354050599,70.9627984910642,71.76410400685508,219178400
2020-03-05,70.91197967529297,72.51700693831131,70.546426702123,71.5413986547228,187572800
2020-03-06,69.97024536132812,70.40358216932741,68.08197403311165,68.26837793734198,226176800
2020-03-09,64.43614959716797,67.32181576257562,63.66873234822989,63.850297174318,286744800
2020-03-10,69.07693481445312,69.3432313409943,65.21081458081115,67.09183070037263,285290000
2020-03-11,66.67787170410156,68.0795543718944,65.81362127140751,67.15236648355659,255598800
2020-03-12,60.09312438964844,65.36334796143669,60.037445534949256,61.959612728994784,418474000
2020-03-13,67.29277038574219,67.76484191547881,61.235766409905956,64.12628289000264,370732000
2020-03-16,58.635765075683594,62.7197589173465,58.10075235573811,58.572820229839216,322423600
2020-03-17,61.21397399902344,62.36388083182577,57.71340264383957,59.91881013868682,324056000
2020-03-18,59.71547317504883,60.521621618277884,57.403546490441286,58.04507789596301,300233600
2020-03-19,59.25791931152344,61.20913545401907,58.732592172693536,59.88976507646557,271857200
2020-03-20,55.49589920043945,60.96463122654848,55.195710672226056,59.8389270162078,401693200
2020-03-23,54.31694030761719,55.31675861475192,51.47000473892812,55.21508274022157,336752800
2020-03-24,59.76631164550781,59.962401104198456,56.72086326951332,57.21956082962695,287531200
2020-03-25,59.437068939208984,62.518828553443576,59.14172316127237,60.70318009593795,303602000
2020-03-26,62.5648307800293,62.62292917138006,59.64042564443605,59.67916036796759,252087200
2020-03-27,59.97449493408203,61.942655145225594,59.80745470235101,61.18734664760273,204216800
2020-03-30,61.6860466003418,61.85792960202071,60.376358043352745,60.700756687792804,167976400
2020-03-31,61.56016540527344,63.54527367451045,61.005789027148815,61.87730177654374,197002000
2020-04-01,58.3210563659668,60.21175123504188,57.8901427153891,59.674318939342214,176218400
2020-04-02,59.29423904418945,59.34749836465027,57.35028492920916,58.18306300120028,165934000
2020-04-03,58.44208908081055,59.4806382957601,57.85139756896397,58.77858908876302,129880000
2020-04-06,63.540443420410156,63.69537493741288,60.37153204839501,60.73950086568339,201820400
2020-04-07,62.80448913574219,65.77489475614705,62.70039373005676,65.55701102978264,202887200
2020-04-08,64.41194915771484,64.72665861508077,63.240251523791564,63.605797071493534,168895200
2020-04-09,64.87674713134766,65.38029109822737,64.0802880085237,65.04863383479294,161834800
2020-04-13,66.15011596679688,66.25905781375604,64.353831433513,64.95420843019932,131022800
2020-04-14,69.49092102050781,69.78142775121215,67.31214270390448,67.78421429432576,194994800
2020-04-15,68.85665893554688,69.31662179135925,67.93673322392213,68.36522365380796,131154400
2020-04-16,69.40374755859375,69.76930037066249,68.35309351528876,69.57078775828805,157125200
2020-04-17,68.4620361328125,69.46670067896375,67.02404221723192,68.91958300953867,215250000
2020-04-20,67.04100799560547,68.19091879039594,67.02164432762936,67.28794093663315,130015200
2020-04-21,64.96873474121094,67.11846344497374,64.25700003826536,66.8836393098129,180991600
2020-04-22,66.84008026123047,67.27583298086698,65.89594444342251,66.23727988733161,116862400
2020-04-23,66.58104705810547,68.20786856663918,66.54231233315308,66.78439882318551,124814400
2020-04-24,68.50320434570312,68.51288987249583,67.05794791639367,67.10636816246496,126161200
2020-04-27,68.5516357421875,68.88329305683456,67.77211693615625,68.21997103964695,117087600
2020-04-28,67.44044494628906,69.19557183776718,67.3484582943587,69.01400698692461,112004800
2020-04-29,69.65555572509766,70.12520415593382,68.72594439265023,68.92929617900803,137280800
2020-04-30,71.12499237060547,71.30171812959233,69.80562571918327,70.19538133730589,183064000
2020-05-01,69.97992706298828,72.38384357310822,69.20040845206991,69.29724154783354,240616800
2020-05-04,70.97007751464844,71.09838306103778,69.31420678113763,70.00415476707384,133568000
2020-05-05,72.03524780273438,72.868025831844,71.28477828502723,71.43003164134032,147751200
2020-05-06,72.7784423828125,73.41028439938938,72.3523679150605,72.73728444031273,142333600
2020-05-07,73.53131866455078,73.87750782142626,73.10282840847145,73.40543639979904,115215200
2020-05-08,75.28148651123047,75.33488998289738,73.86387583630506,74.1915786211752,133838400
2020-05-11,76.46607971191406,76.96126753964525,74.57997160607404,74.78873335955656,145946400
2020-05-12,75.59222412109375,77.60212591001033,75.47085322222706,77.15062231412254,162301200
2020-05-13,74.67951965332031,76.69428120977256,73.60174537683079,75.77185784641975,200622400
2020-05-14,75.13829803466797,75.19898348401253,73.19393386714296,73.91730709017112,158929200
2020-05-15,74.69405364990234,74.74017516998981,72.87349072399537,72.90747812106594,166348400
2020-05-18,76.45394897460938,76.8277733901168,75.3276309672179,76.01944652197729,135178400
2020-05-19,76.01217651367188,77.31812127307398,75.9806188920403,76.47095469800648,101729600
2020-05-20,77.4904556274414,77.56084540499204,76.8326201163857,76.87145968739159,111504800
2020-05-21,76.91273498535156,77.89341385727374,76.67484537253091,77.35209701743804,102688800
2020-05-22,77.4079360961914,77.49046741917871,76.54862805066547,76.65057545816492,81803200
2020-05-26,76.88359069824219,78.70657605053346,76.82775743358286,78.52694954111867,125522000
2020-05-27,77.21856689453125,77.36421341169495,76.00000609697051,76.74037280593195,112945200
2020-05-28,77.2525634765625,78.51239377679266,76.61658126415462,76.89330301256463,133560800
2020-05-29,77.17731475830078,77.95651372350704,76.82048407944905,77.49530586711329,153532400
2020-06-01,78.12644958496094,78.24782048460888,77.00012408043993,77.13120672626943,80791200
2020-06-02,78.48811340332031,78.51238905892326,77.4176214398733,77.85941318502095,87642800
2020-06-03,78.92019653320312,79.18236177148373,78.2356630206697,78.80853740247117,104491200
2020-06-04,78.24054718017578,79.04159224328929,77.86672269370624,78.7430245381852,87560400
2020-06-05,80.46888732910156,80.52957276449304,78.46141579319185,78.49054361691735,137250400
2020-06-08,80.94465637207031,80.97864377054464,79.4542259806051,80.16545748180829,95654400
2020-06-09,83.50074005126953,83.89398053792564,80.59269835430385,80.62425597002903,147712400
2020-06-10,85.64899444580078,86.11748422497571,84.01048770475796,84.44984966046565,166651600
